級,分野,問題文,前後,単位,正解単位,解答,解説
3,換算,"¥7,564は何ポンド何ペンスか。ただし、£1＝¥198とする。（ペンス未満4捨5入）",1,"￥|＄|€|￡","￡","38.20","￥どうしなので割り算です。あと、外国通貨なので、小数第2位まで書きましょう。|7,564÷198"
3,換算,"¥7,631は何ドル何セントか。ただし、＄1＝¥149とする。（セント未満4捨5入）",1,"￥|＄|€|￡","＄",51.21,"￥どうしなので割り算です。答えは小数第2位まで書きましょう。|7,631÷149"
3,換算,"¥1,720は何ユーロ何セントか。ただし、€1＝¥167とする。（セント未満4捨5入）",1,"￥|＄|€|￡","€","10.30","￥どうしなので割り算です。答えは小数第2位まで書きましょう。|1,720÷167"
3,換算,"¥9,644は何ユーロ何セントか。ただし，€1＝¥183とする。（セント未満4捨5入）",1,"￥|＄|€|￡","€","52.70","￥どうしなので割り算です。答えは小数第2位まで書きます。さらに、4捨5入に注意しましょう。|9,644÷183"
3,換算,"＄12.50は円でいくらか。ただし、＄1＝¥154とする。",1,"￥|＄|€|￡","￥",1925,"＄と￥で単位が違うので、掛け算です。|12.5×154"
3,換算,"＄62.80は円でいくらか。ただし、＄1＝¥155とする。",1,"￥|＄|€|￡","￥",9734,"＄と￥で単位が違うので、掛け算です。|62.8×155"
3,換算,"€32.97は円でいくらか。ただし、€1＝¥169とする。（円未満4捨5入）",1,"￥|＄|€|￡","￥",5572,"€と￥で単位が違うので、掛け算です。|32.97×169"
3,換算,"￡44.25は円でいくらか。ただし、￡1＝¥184とする。",1,"￥|＄|€|￡","￥",8142,"￡と￥で単位が違うので、掛け算です。|44.25×184"
3,換算,"￡39.58は円でいくらか。ただし、￡1＝¥211とする。（円未満4捨5入）",1,"￥|＄|€|￡","￥",8351,"￡と￥で単位が違うので、掛け算です。|39.58×211"
3,換算,"289Ｌは何米ガロンか。ただし、1米ガロン＝3.785Ｌとする。（米ガロン未満4捨5入）",2,"Ｌ|米ガロン","米ガロン",76,"Ｌどうしなので割り算です。|289÷3.785"
3,換算,"62米ガロンは何リットルか。ただし、1米ガロン＝3.785Ｌとする。（リットル未満4捨5入）",2,"米ガロン|Ｌ","Ｌ",235,"米ガロンとＬで単位が違うので掛け算です。|62×3.785"
3,換算,"500英ガロンは何リットルか。ただし、1英ガロン＝4.546Ｌとする。",2,"英ガロン|Ｌ","Ｌ",2273,"英ガロンとＬで単位が違うので掛け算です。|500×4.546"
3,換算,"65英トンは何キログラムか。ただし、1英トン＝1,016kgとする。",2,"英トン|kg","kg",66040,"英トンとkgで単位が違うので掛け算です。|65×1,016"
3,換算,"403lbは何キログラムか。ただし、1lb＝0.4536kgとする。（キログラム未満4捨5入）",2,"lb|kg","kg",183,"lbとkgで単位が違うので、掛け算です。|403×0.4536"
3,換算,"158kgは何ポンドか。ただし、1lb＝0.4536kgとする。（ポンド未満4捨5入）",2,"kg|lb","lb",348,"kgどうしなので割り算です。|158÷0.4536"
3,換算,"416kgは何ポンドか。ただし、1lb＝0.4536kgとする。（ポンド未満4捨5入）",2,"kg|lb","lb",917,"kgどうしなので割り算です。|416÷0.4536"
3,換算,"9,800kgは何米トンか。ただし、1米トン＝907.2kgとする。（米トン未満4捨5入）",2,"kg|米トン","米トン",11,"kgどうしなので割り算です。|9,800÷907.2"
3,換算,"382ｍは何ヤードか。ただし、1yd＝0.9144ｍとする。（ヤード未満4捨5入）",2,"ｍ|yd","yd",418,"ｍどうしなので割り算です。|382÷0.9144"
3,換算,"530ｍは何フィートか。ただし、1ft＝0.3048ｍとする。（フィート未満4捨5入）",2,"ｍ|ft","ft",1739,"ｍどうしなので割り算です。|530÷0.3048"
3,換算,"857ｍは何フィートか。ただし、1ft＝0.3048ｍとする。（フィート未満4捨5入）",2,"ｍ|ft","ft",2812,"ｍどうしなので割り算です。|857÷0.3048"
3,換算,"2,340ftは何メートルか。ただし、1ft＝0.3048mとする。（メートル未満4捨5入）",2,"ft|ｍ","ｍ",713,"ftとｍで単位が違うので掛け算です。|2,340×0.3048"
3,換算,"270ydは何メートルか。ただし、1yd＝0.9144mとする。（メートル未満4捨5入）",2,yd|ｍ,"ｍ",247,"ydとｍで単位が違うので掛け算です。|270×0.9144"
3,換算,"300ｍは何ヤードか。ただし、1yd=0.9144ｍとする。（ヤード未満4捨5入）",2,yd|ｍ,"yd",328,"ｍどうしなので割り算です。|300÷0.9144"
3,換算,"480ftは何メートルか。ただし、1ft=0.3048ｍとする。（メートル未満4捨5入）",2,ft|ｍ,"ｍ",146,"ftとｍで単位が違うので掛け算です。|480×0.3048"
3,換算,"＄81.40は円でいくらか。ただし、＄1=¥115とする。",1,"￥|＄|€|￡","￥",9361,"＄と￥で単位が違うので掛け算です。|81.40×115"
3,換算,"¥6,500は何ドル何セントか。ただし、＄1=¥107とする。（セント未満4捨5入）",1,"￥|＄|€|￡","＄",60.75,"￥どうしなので割り算です。|6,500÷107"
3,換算,"€49.80は円でいくらか。ただし、€1=¥120とする。",1,"￥|＄|€|￡","￥",5976,"€と￥で単位が違うので掛け算です。|49.80×120"
3,換算,"¥5,400は何ユーロ何セントか。ただし、€1=¥134とする。（セント未満4捨5入）",1,"￥|＄|€|￡","€","40.30","￥どうしなので割り算です。|5,400÷134"
3,換算,"￡37.20は円でいくらか。ただし、￡1=¥160とする。",1,"￥|＄|€|￡","￥",5952,"￡と￥で単位が違うので掛け算です。|37.20×160"
3,換算,"¥9,600は何ポンド何ペンスか。ただし、￡1=¥149とする。（ペンス未満4捨5入）",1,"￥|＄|€|￡","￡",64.43,"￥どうしなので割り算です。|9,600÷149"
