区分,問題文,仕訳文,科目1,借方1,貸方1,科目2,借方2,貸方2,科目3,借方3,貸方3
基本,"商品￥330,000を売り渡し、代金は掛けとした。","（借方）　売掛金　330,000　／　（貸方）　売上　330,000","売掛金",330000,0,"売上",0,330000,"買掛金",0,0
基本,"仕入先に対する買掛金の一部￥140,000を現金で支払った。","（借方）　買掛金　140,000　／　（貸方）　現金　140,000","買掛金",140000,0,"現金",0,140000,"仕入",0,0
基本,"店舗用の家賃￥132,000が普通預金口座から引き落とされた。","（借方）　支払家賃　132,000　／　（貸方）　普通預金　132,000","支払家賃",132000,0,"普通預金",0,132000,"受取家賃",0,0
基本,"得意先に対する売掛金の一部￥640,000を、同店振り出しの小切手で受け取り、ただちに当座預金とした。","（借方）　当座預金　640,000　／　（貸方）　売掛金　640,000","当座預金",640000,0,売掛金,0,640000,"現金",0,0
基本,"インターネットの利用料金￥15,000が当座預金口座から引き落とされた。","（借方）　通信費　15,000　／　（貸方）　当座預金　15,000","通信費",15000,0,"当座預金",0,15000,"広告料",0,0
基本,"商品￥300,000を仕入れ、代金は掛けとした。","（借方）　仕入　300,000　／　（貸方）　買掛金　300,000","仕入",300000,0,"買掛金",0,300000,"売掛金",0,0
基本,"保険料￥40,000が普通預金口座から引き落とされた。","（借方）　保険料　40,000　／　（貸方）　普通預金　40,000","保険料",40000,0,"普通預金",0,40000,"支払保険料",0,0
基本,"新聞社に折り込み広告代金￥143,000を現金で支払った。","（借方）　広告料　143,000　／　（貸方）　現金　143,000","広告料",143000,0,"現金",0,143000,"雑費",0,0
基本,"商品￥385,000を仕入れ、代金は掛けとした。","（借方）　仕入　385,000　／　（貸方）　買掛金　385,000","仕入",385000,0,"買掛金",0,385000,"売掛金",0,0
基本,"得意先に商品￥920,000を売り渡し、代金は掛けとした。","（借方）　売掛金　920,000　／　（貸方）　売上　920,000","売掛金",920000,0,"売上",0,920000,"買掛金",0,0
基本,"仕入先に対する買掛金の一部￥50,000を小切手を振り出して支払った。","（借方）　買掛金　50,000　／　（貸方）　当座預金　50,000","買掛金",50000,0,"当座預金",0,50000,"現金",0,0
基本,"得意先に対する売掛金の一部￥600,000を同店振り出しの小切手で受け取った。","（借方）　現金　600,000　／　（貸方）　売掛金　600,000","現金",600000,0,"売掛金",0,600000,"当座預金",0,0
