分野,問題,借方1科目,借方1金額,借方2科目,借方2金額,貸方1科目,貸方1金額,貸方2科目,貸方2金額,解説
商品売買,"商品￥120,000を仕入れ、代金は現金で支払った。",仕入,120000,,,現金,120000,,,商品を仕入れたときは仕入（費用）を使用します。
商品売買,"商品￥150,000を仕入れ、代金は掛けとした。",仕入,150000,,,買掛金,150000,,,商品を仕入れたときは仕入（費用）を使用し、商品代金を後で支払う場合は、買掛金（負債）を使用します。
商品売買,"商品￥200,000を仕入れ、￥150,000は現金で支払い、残額は掛けとした。",仕入,200000,,,現金,150000,買掛金,50000,"商品代金は￥200,000ですが、￥150,000しか払っていないので、残りの￥50,000は後で支払うので買掛金（負債）を使用します。"
商品売買,"商品￥180,000を仕入れ、￥130,000は小切手を振り出して支払い、残額は掛けとした。",仕入,180000,,,当座預金,130000,買掛金,50000,"小切手で支払ったら当座預金（資産）が減ります。残りの￥50,000は後で支払うので買掛金（負債）を使用します。"
商品売買,"商品￥320,000を売り渡し、代金は現金で受け取った。",現金,320000,,,売上,320000,,,商品を売った時は、売上（収益）を使用します。
商品売買,"商品￥250,000を売り渡し、代金は掛けとした。",売掛金,250000,,,売上,250000,,,商品を売った時（売上）に、掛け（後で払う約束）をしたときは、売掛金（資産）を使用します。
商品売買,"商品￥420,000を売り渡し、￥220,000は現金で受け取り、残額は掛けとした。",現金,220000,売掛金,200000,売上,420000,,,商品を売った時（売上）に、現金と売掛金の両方を使用するパターンです。
商品売買,"商品￥230,000を仕入れ、代金は小切手を振り出して支払った。",仕入,230000,,,当座預金,230000,,,代金を支払うときに小切手を相手に渡す（振り出す）と、当座預金（資産）から支払われます。
商品売買,"商品￥350,000を売り渡し、代金は小切手で受け取った。",現金,350000,,,売上,350000,,,小切手は現金扱いなので、受け取ったら現金（資産）が増えます。
商品売買,"商品￥300,000を売り渡し、代金は小切手で受け取り、ただちに当座預金に預け入れた。",当座預金,300000,,,売上,300000,,,小切手は現金扱いですが、ただちに（すぐに）当座預金に預けた場合は、当座預金（資産）に振り込まれたように扱います。
商品売買,"商品の注文を受け、内金として￥50,000を現金で受け取った。",現金,50000,,,前受金,50000,,,"この時点では、「まだ売っていない」ことに注意しましょう。注文ではなく、商品を引き渡したときが「売上」です。"
固定資産,"店舗で使用する商品陳列棚￥100,000を購入し、代金は現金で支払った。",備品,100000,,,現金,100000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。
固定資産,"店舗で使用する商品陳列棚￥120,000を購入し、代金は月末に支払うこととした。",備品,120000,,,未払金,120000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。商品以外の代金を後で支払う場合は未払金（買掛金と間違えないように）となります。
固定資産,"店舗で使用する商品陳列棚￥150,000を購入し、代金は小切手を振り出して支払った。",備品,150000,,,当座預金,150000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。小切手を振り出すと、当座預金（資産）から支払われます。
固定資産,"店舗で使用する机と椅子のセット￥50,000を購入し、代金は現金で支払った。",備品,50000,,,現金,50000,,,机やいすは備品（資産）です。
固定資産,"営業用の自動車￥1,000,000を購入し、現金で支払った。",車両運搬具,1000000,,,現金,1000000,,,自動車は車両運搬具（資産）という勘定科目です。漢字が難しいです。
固定資産,"営業用の自動車￥2,000,000を購入し、代金は小切手を振り出して支払った。",車両運搬具,2000000,,,当座預金,2000000,,,自動車は車両運搬具（資産）という勘定科目です。小切手を振り出すと、当座預金（資産）から支払われます。
固定資産,"営業用の自動車￥2,500,000を購入し、代金は翌月に支払うこととした。",車両運搬具,2500000,,,未払金,2500000,,,自動車は車両運搬具（資産）という勘定科目です。商品以外の代金を後で支払う場合は未払金（負債）となります。
資金取引,"現金￥400,000を定期預金として預け入れた。",定期預金,400000,,,現金,400000,,,現金（資産）は手元から減りますが、定期預金（資産）は増えます。
資金取引,"現金￥350,000を普通預金として預け入れた。",普通預金,350000,,,現金,350000,,,現金（資産）は手元から減りますが、普通預金（資産）は増えます。
資金取引,"現金￥370,000を当座預金として預け入れた。",当座預金,370000,,,現金,370000,,,現金（資産）は手元から減りますが、当座預金（資産）は増えます。
資金取引,"￥100,000の小切手を振り出し、小口現金として庶務係に渡した。",小口現金,100000,,,当座預金,100000,,,小切手を振り出しているので、当座預金（資産）は減りますが、小口現金（資産）は増えます。
貸倒処理,"得意先が倒産し、前期から繰り越された売掛金￥50,000が回収不能となったため、貸し倒れとして処理した。ただし、貸倒引当金勘定の残高が￥70,000 ある。",貸倒引当金,50000,,,売掛金,50000,,,"売掛金（資産）が回収できなくなったときは、貸方に書きます。そして、貸倒引当金が回収不能の売掛金より多いので貸倒引当金を借方に書いて終わりです。"
貸倒処理,"得意先が倒産し、前期から繰り越された売掛金￥80,000が回収不能となったため、貸し倒れとして処理した。ただし、貸倒引当金勘定の残高が￥50,000 ある。",貸倒引当金,50000,貸倒損失,30000,売掛金,80000,,,"売掛金（資産）が回収できなくなったときは、貸方に書きます。そして、貸倒引当金が￥50,000しかないので、残りの￥30,000は貸倒損失（費用）とします。"
内部処理,"現金￥45,000を従業員のために立て替え払いした。",従業員立替金,45000,,,現金,45000,,,現金（資産）が減っているので、貸方に書きます。また、あとから従業員から返してもらうので、従業員立替金（資産）が増えます。
内部処理,"従業員の出張にあたり、旅費の概算額として￥90,000を現金で仮払いした。",仮払金,90000,,,現金,90000,,,"￥90,000は、「まだ旅費として確定していない」ということに注意しましょう。いくら使うかわかっていないので、仮払金です。"
内部処理,"出張に際し、￥60,000を渡していたが、帰ってきた社員から、残額￥5,000を現金で受け取った。",旅費,55000,現金,5000,仮払金,60000,,,"￥5,000を返されたということは、旅費として使ったのは￥55,000ということがわかります。"
内部処理,"先日、仮受金として処理していた￥50,000は売掛金の回収であったことが判明した。",仮受金,50000,,,売掛金,50000,,,"仮受金の内容が判明したときは仮受金（負債）を減らして、判明した勘定科目を使用します。"
内部処理,"出張中の従業員から当店の普通預金口座に￥60,000の振り込みがあったが，その内容は不明である。",普通預金,60000,,,仮受金,60000,,,"普通預金（資産）が増えたことは事実ですが、なんのお金か不明な場合は仮受金（負債）として処理します。"
内部処理,"商品の発送費￥15,000を現金で支払った。",発送費,15000,,,現金,15000,,,"商品を取引相手に送った時にかかる費用は発送費として処理します。"
内部処理,"郵便局で切手￥5,000分を購入し、現金で支払った。",通信費,5000,,,現金,5000,,,"切手はハガキや手紙に貼る（相手とやり取りするため）ものなので、通信費（費用）です。"
内部処理,"収入印紙￥20,000分を購入し、現金で支払った。",租税公課,20000,,,現金,20000,,,"収入印紙は見た目は切手と似ていますが、税金を納める代わりに貼り付けるものなので、租税公課（費用）です。"
内部処理,"今月のインターネット利用料￥10,000を普通預金から支払った。",通信費,10000,,,普通預金,10000,,,"インターネット利用料は通信費（費用）です。"
内部処理,"今月の電気代￥12,000を現金で支払った。",水道光熱費,12000,,,現金,12000,,,"電気代や水道代は、まとめて水道光熱費（費用）を使用します。"
内部処理,"従業員の給料￥300,000の支払いにあたり、所得税額￥35,000を差し引いて、現金で支払った。",給料,300000,,,所得税預り金,35000,現金,265000,"給料自体は￥300,000ですが、従業員に支払う前に、従業員が支払うべき所得税を差し引いてから現金で支払います。"
資本・その他,"借用証書によって、現金￥500,000を貸し付けた。",貸付金,500000,,,現金,500000,,,誰かにお金を貸すと、自分の手元から現金（資産）がなくなるので、貸方に書きます。
資本・その他,"借用証書によって、￥200,000を貸し付けていたが、本日、利息￥10,000とともに現金で受け取った。",現金,210000,,,貸付金,200000,受取利息,10000,"受け取った￥210,000のうち、￥200,000は貸付金で、合わせて￥10,000の利息（受取利息）を受け取っているので、分けて書きます。"
資本・その他,"銀行より現金￥500,000を借り入れた。",現金,500000,,,借入金,500000,,,借金（借入金という負債）は増えますが、同時に、手元に現金（資産）が増えます。
資本・その他,"銀行より￥100,000を借り入れていたが、本日、利息￥5,000とともに現金で支払った。",借入金,100000,支払利息,5000,現金,105000,,,"支払った総額は￥105,000ですが、借入金そのものは￥100,000なので、￥5,000の利息（支払利息）と分けて書きます。"
資本・その他,"現金￥1,000,000 を元入れして開業した。",現金,1000000,,,資本金,1000000,,,「元入れ」というキーワードが出てきたら、必ず資本金（資本）です。
商品売買,"商品￥108,000を仕入れ、代金は現金で支払った。",仕入,108000,,,現金,108000,,,商品を仕入れたときは仕入（費用）を使用します。
商品売買,"商品￥144,000を仕入れ、代金は現金で支払った。",仕入,144000,,,現金,144000,,,商品を仕入れたときは仕入（費用）を使用します。
商品売買,"商品￥120,000を仕入れ、代金は現金払いとした。",仕入,120000,,,現金,120000,,,商品を仕入れたときは仕入（費用）を使用します。
商品売買,"商品￥120,000について仕入れを行い、代金は現金で支払った。",仕入,120000,,,現金,120000,,,商品を仕入れたときは仕入（費用）を使用します。
商品売買,"商品￥135,000を仕入れ、代金は掛けとした。",仕入,135000,,,買掛金,135000,,,商品を仕入れたときは仕入（費用）を使用し、商品代金を後で支払う場合は、買掛金（負債）を使用します。
商品売買,"商品￥180,000を仕入れ、代金は掛けとした。",仕入,180000,,,買掛金,180000,,,商品を仕入れたときは仕入（費用）を使用し、商品代金を後で支払う場合は、買掛金（負債）を使用します。
商品売買,"商品￥150,000を仕入れ、代金は後払いとした。",仕入,150000,,,買掛金,150000,,,商品を仕入れたときは仕入（費用）を使用し、商品代金を後で支払う場合は、買掛金（負債）を使用します。
商品売買,"商品￥150,000について仕入れを行い、代金は掛けとした。",仕入,150000,,,買掛金,150000,,,商品を仕入れたときは仕入（費用）を使用し、商品代金を後で支払う場合は、買掛金（負債）を使用します。
商品売買,"商品￥180,000を仕入れ、￥150,000は現金で支払い、残額は掛けとした。",仕入,180000,,,現金,135000,買掛金,45000,"商品代金は￥200,000ですが、￥150,000しか払っていないので、残りの￥50,000は後で支払うので買掛金（負債）を使用します。"
商品売買,"商品￥240,000を仕入れ、￥150,000は現金で支払い、残額は掛けとした。",仕入,240000,,,現金,180000,買掛金,60000,"商品代金は￥200,000ですが、￥150,000しか払っていないので、残りの￥50,000は後で支払うので買掛金（負債）を使用します。"
商品売買,"商品￥200,000について仕入れを行い、￥150,000は現金で支払い、残額は掛けとした。",仕入,200000,,,現金,150000,買掛金,50000,"商品代金は￥200,000ですが、￥150,000しか払っていないので、残りの￥50,000は後で支払うので買掛金（負債）を使用します。"
商品売買,"商品￥200,000を仕入れ、￥150,000は現金で支払い、残額は掛けとした。",仕入,200000,,,現金,150000,買掛金,50000,"商品代金は￥200,000ですが、￥150,000しか払っていないので、残りの￥50,000は後で支払うので買掛金（負債）を使用します。"
商品売買,"商品￥162,000を仕入れ、￥130,000は小切手を振り出して支払い、残額は掛けとした。",仕入,162000,,,当座預金,130000,買掛金,32000,"小切手で支払ったら当座預金（資産）が減ります。残りの￥32,000は後で支払うので買掛金（負債）を使用します。"
商品売買,"商品￥216,000を仕入れ、￥130,000は小切手を振り出して支払い、残額は掛けとした。",仕入,216000,,,当座預金,156000,買掛金,60000,"小切手で支払ったら当座預金（資産）が減ります。残りの￥50,000は後で支払うので買掛金（負債）を使用します。"
商品売買,"商品￥180,000について仕入れを行い、￥130,000は小切手を振り出して支払い、残額は掛けとした。",仕入,180000,,,当座預金,130000,買掛金,50000,"小切手で支払ったら当座預金（資産）が減ります。残りの￥50,000は後で支払うので買掛金（負債）を使用します。"
商品売買,"商品￥180,000を仕入れ、￥130,000は小切手を振り出して支払い、残額は掛けとした。",仕入,180000,,,当座預金,130000,買掛金,50000,"小切手で支払ったら当座預金（資産）が減ります。残りの￥50,000は後で支払うので買掛金（負債）を使用します。"
